pos,variable,label,col_type,missing,value_labels
37,secdx3,3rd Secondary diagnosis,dbl+lbl,678,"c(none = 0, `alcohol-induced mood disorder` = 291.8, `substance-induced mood disorder` = 292.84, `major depressive episode-one episode` = 296.2, `major depressive disorder-recurrent` = 296.3, `bipolar disorder nos` = 296.8, `Mood Disorder NOS` = 296.9, `anxiety disorder NOS` = 300, `panic without agoraphobia` = 300.01, `general anxiety disorder` = 300.02, `panic disorder WITH agoraphobia` = 300.21, `agoraphobia withOUT panic` = 300.22, `social phobia` = 300.23, `specific phobia` = 300.29, OCD = 300.3, 
`dysthymic disorder` = 300.4, hypochondriasis = 300.7, `alcohol dependence` = 303.9, `opioid dependence` = 304, `cocaine dependence` = 304.2, `cannabis dependence` = 304.3, `amphetamine dependence` = 304.4, `poly substance dependence` = 304.8, `alcohol abuse` = 305, `nicotine dependence` = 305.1, `cannabis abuse` = 305.2, `hallucinogen abuse` = 305.3, `cocaine abuse` = 305.6, `amphetamine abuse` = 305.7, `unknown substance abuse` = 305.9, `Adj disorder with mix disturb emot conduct` = 309.4, PTSD = 309.81, 
`depressive disorder NOS` = 311, `ADHD inattentive type` = 314, `polysubstance abuse from SCID (expl)` = 999.99)"
38,secdx4,4th Secondary diagnosis,dbl+lbl,729,"c(none = 0, `alcohol-induced mood disorder` = 291.8, `substance-induced mood disorder` = 292.84, `major depressive episode-one episode` = 296.2, `major depressive disorder-recurrent` = 296.3, `bipolar disorder nos` = 296.8, `Mood Disorder NOS` = 296.9, `anxiety disorder NOS` = 300, `panic without agoraphobia` = 300.01, `general anxiety disorder` = 300.02, `panic disorder WITH agoraphobia` = 300.21, `agoraphobia withOUT panic` = 300.22, `social phobia` = 300.23, `specific phobia` = 300.29, OCD = 300.3, 
`dysthymic disorder` = 300.4, hypochondriasis = 300.7, `alcohol dependence` = 303.9, `opioid dependence` = 304, `cocaine dependence` = 304.2, `cannabis dependence` = 304.3, `amphetamine dependence` = 304.4, `poly substance dependence` = 304.8, `alcohol abuse` = 305, `nicotine dependence` = 305.1, `cannabis abuse` = 305.2, `hallucinogen abuse` = 305.3, `cocaine abuse` = 305.6, `amphetamine abuse` = 305.7, `unknown substance abuse` = 305.9, `Adj disorder with mix disturb emot conduct` = 309.4, PTSD = 309.81, 
`depressive disorder NOS` = 311, `ADHD inattentive type` = 314, `polysubstance abuse from SCID (expl)` = 999.99)"
39,secdx5,5th Secondary diagnosis,dbl+lbl,758,"c(none = 0, `alcohol-induced mood disorder` = 291.8, `substance-induced mood disorder` = 292.84, `major depressive episode-one episode` = 296.2, `major depressive disorder-recurrent` = 296.3, `bipolar disorder nos` = 296.8, `Mood Disorder NOS` = 296.9, `anxiety disorder NOS` = 300, `panic without agoraphobia` = 300.01, `general anxiety disorder` = 300.02, `panic disorder WITH agoraphobia` = 300.21, `agoraphobia withOUT panic` = 300.22, `social phobia` = 300.23, `specific phobia` = 300.29, OCD = 300.3, 
`dysthymic disorder` = 300.4, hypochondriasis = 300.7, `alcohol dependence` = 303.9, `opioid dependence` = 304, `cocaine dependence` = 304.2, `cannabis dependence` = 304.3, `amphetamine dependence` = 304.4, `poly substance dependence` = 304.8, `alcohol abuse` = 305, `nicotine dependence` = 305.1, `cannabis abuse` = 305.2, `hallucinogen abuse` = 305.3, `cocaine abuse` = 305.6, `amphetamine abuse` = 305.7, `unknown substance abuse` = 305.9, `Adj disorder with mix disturb emot conduct` = 309.4, PTSD = 309.81, 
`depressive disorder NOS` = 311, `ADHD inattentive type` = 314, `polysubstance abuse from SCID (expl)` = 999.99)"
40,secdx6,6th secondary dx,dbl+lbl,763,"c(none = 0, `alcohol-induced mood disorder` = 291.8, `substance-induced mood disorder` = 292.84, `major depressive episode-one episode` = 296.2, `major depressive disorder-recurrent` = 296.3, `bipolar disorder nos` = 296.8, `Mood Disorder NOS` = 296.9, `anxiety disorder NOS` = 300, `panic without agoraphobia` = 300.01, `general anxiety disorder` = 300.02, `panic disorder WITH agoraphobia` = 300.21, `agoraphobia withOUT panic` = 300.22, `social phobia` = 300.23, `specific phobia` = 300.29, OCD = 300.3, 
`dysthymic disorder` = 300.4, hypochondriasis = 300.7, `alcohol dependence` = 303.9, `opioid dependence` = 304, `cocaine dependence` = 304.2, `cannabis dependence` = 304.3, `amphetamine dependence` = 304.4, `poly substance dependence` = 304.8, `alcohol abuse` = 305, `nicotine dependence` = 305.1, `cannabis abuse` = 305.2, `hallucinogen abuse` = 305.3, `cocaine abuse` = 305.6, `amphetamine abuse` = 305.7, `unknown substance abuse` = 305.9, `Adj disorder with mix disturb emot conduct` = 309.4, PTSD = 309.81, 
`depressive disorder NOS` = 311, `ADHD inattentive type` = 314, `polysubstance abuse from SCID (expl)` = 999.99)"
41,secdx1pc,Secondary dx1 past or current,dbl+lbl,516,"c(past = 1, current = 2, `no info` = 9)"
42,secdx3pc,Secondary dx3 past or current,dbl+lbl,720,"c(past = 1, current = 2, `no info` = 9)"
43,secdx4pc,Secondary dx4 past or current,dbl+lbl,754,"c(past = 1, current = 2, `no info` = 9)"
44,secdx5pc,Secondary dx5 past or current,dbl+lbl,762,"c(past = 1, current = 2, `no info` = 9)"
45,secdx6pc,Secondary dx6 past or current,dbl+lbl,764,"c(past = 1, current = 2, `no info` = 9)"
46,SUD,Comorbid diagnosis,dbl+lbl,362,"c(`no Dx` = 0, Dx = 1)"
47,MOOD,Comorbid diagnosis,dbl+lbl,343,"c(`no Dx` = 0, Dx = 1)"
48,ANXIETY,Comorbid diagnosis,dbl+lbl,371,"c(`no Dx` = 0, Dx = 1)"
49,ADHD,Comorbid diagnosis,dbl+lbl,332,"c(`no Dx` = 0, Dx = 1)"
50,Battery,Battery used for baseline neuropsyc,dbl+lbl,252,"c(`pen & paper` = 1, computerized = 2, `not applicable` = 8888)"
51,CogState_sop_z,CogState speed of processing z-score,dbl,541,NULL
52,CogState_va_z,CogState visual attention z-score,dbl,543,NULL
53,CogState_vism_z,CogState visual memory z-score,dbl,541,NULL
54,CogState_verbm_z,CogState verbal memory z-score,dbl,541,NULL
55,CogState_wm_z,CogState working memory z-score,dbl,542,NULL
56,CogState_ef_z,CogState executive functioning z-score,dbl,541,NULL
57,CogState_sc_z,CogState social cognition z-score,dbl,541,NULL
58,PP_sop_z,Pen & paper battery - speed of processing (z-transformed),dbl,501,NULL
59,PP_va_z,Pen & paper battery - visual attention (z-transformed),dbl,505,NULL
60,PP_vism_z,Pen & paper battery - visual memory (z-transformed),dbl,519,NULL
61,PP_verbm_z,Pen & paper battery - verbal memory (z-transformed),dbl,504,NULL
62,PP_wm_z,Pen & paper battery - working memory (z-transformed),dbl,502,NULL
63,PP_ef_z,Pen & paper battery - executive functions (z-transformed),dbl,277,NULL
64,PP_sc_z,Pen & paper battery - social cognition (z-transformed),dbl,553,NULL
65,WAIS3_digsymb_raw,WAIS 3 digit symbol raw score,dbl,503,NULL
66,trail_a_raw,Trails A  duration in seconds (raw score),dbl,505,NULL
67,stp_wrd_raw,Stroop word total (raw score),dbl+lbl,506,c(`<20` = 19)
68,stp_col_raw,Stroop colour total (raw score),dbl+lbl,506,c(`<20` = 19)
69,d2_cp_raw,D2 Test of Attention concentration performance (CP) Raw Score,dbl,515,NULL
70,stp_int_raw,Stroop interference (raw score),dbl,509,NULL
71,WAIS3_dstot_raw,WAIS 3 digit span total raw score,dbl,503,NULL
72,wm3_sstot_raw,WMS 3 Spatial Span total (raw score),dbl,505,NULL
73,wm3_vr1_raw,WMS 3 Visual Reproduction I (raw score),dbl,519,NULL
74,wm3_vr2_raw,WMS 3 Visual Reprodruction II recall (raw score),dbl,519,NULL
75,wm3_lm1_raw,WMS 3 Logical Memory I immediate recall (raw score),dbl,505,NULL
76,wm3_lm2d_raw,WMS 3 Logical Memory II delayed recall (raw score),dbl,505,NULL
77,wm3_lm2_recog_raw,WMS 3 Logical Memory II recognition (raw score),dbl,505,NULL
78,WASI_Block_raw,WASI block design raw score,dbl,536,NULL
79,trail_b_raw,Trails B  duration in seconds (raw score),dbl,507,NULL
80,sit_miscart_14,Social Intelligence - Missing Cartoons,dbl,553,NULL
81,PAS_c,PAS - childhood,dbl,377,NULL
82,PAS_ea,PAS - early adolescence,dbl,389,NULL
83,PAS_la,PAS - late adolescence,dbl,465,NULL
84,PAS_a,PAS - adulthood,dbl,582,NULL
85,PAS_tot2,"PAS - total childhood, early adolescence",dbl,394,NULL
86,PAS_tot3,"PAS - total childhood, early & late adolescence",dbl,475,NULL
87,PAS_tot4,"PAS - total childhood, early & late adolescence, adulthood",dbl,602,NULL
88,vismin,Visible minority status re Stats Can 2006,dbl+lbl,126,"c(white = 0, Chinese = 1, `South Asian` = 2, Black = 3, Filipino = 4, `Latin American` = 5, `Southeast Asian` = 6, Arab = 7, `West Asian` = 8, Korean = 9, Japanese = 10, aboriginal = 11, multiple = 12)"
89,EDUC_cat,Education,dbl+lbl,119,"c(`never finished grade school` = 0, `finished grade school` = 6, `Grade 7` = 7, `Grade 8` = 8, `Grade 9` = 9, `Grade 10` = 10, `Grade 11` = 11, `some college (CEGEP)` = 12, `college diploma (CEGEP DEC)` = 13, `some university` = 14, `undergraduate degree` = 15, `Graduate degree or higher` = 16, `Special Education` = 17, Unknown = 18)"
90,newwork,New working status last 4 weeks,dbl+lbl,133,"c(`not working due to a disability` = 0, student = 1, homemaker = 2, welfare = 3, `working part-time` = 4, `working full-time` = 5, other = 6)"
91,othwork,Other working status specified,chr,0,NULL
92,newliving,New living circumstances,dbl+lbl,105,"c(`living with family or friends` = 1, `living alone in  private residence` = 2, `living in nursing or group home` = 3, homeless = 4, `other sitn` = 5, `living with spouse/partner` = 6)"
93,othliving,other living circumstances specified,chr,0,NULL
94,marital,Marital Status,dbl+lbl,87,"c(single = 0, married = 1, `common law` = 2, `stable rel'ship` = 3, separated = 4, divorced = 5, widowed = 6, other = 7)"
95,Years_of_education,Years of education at baseline neuropsyc,dbl,380,NULL
96,SOFAS_0,NA,dbl,155,NULL
97,SOFAS_12,NA,dbl,309,NULL
98,SOFAS_24,NA,dbl,470,NULL
99,SAPS_0,"SAPS - total of global scores (items 7, 20, 25, 34)",dbl,91,NULL
100,SAPS_1,"SAPS - total of global scores (items 7, 20, 25, 34)",dbl,400,NULL
101,SAPS_2,"SAPS - total of global scores (items 7, 20, 25, 34)",dbl,307,NULL
102,SAPS_3,"SAPS - total of global scores (items 7, 20, 25, 34)",dbl,202,NULL
103,SAPS_6,"SAPS - total of global scores (items 7, 20, 25, 34)",dbl,245,NULL
104,SAPS_9,"SAPS - total of global scores (items 7, 20, 25, 34)",dbl,322,NULL
105,SAPS_12,"SAPS - total of global scores (items 7, 20, 25, 34)",dbl,303,NULL
106,SAPS_18,"SAPS - total of global scores (items 7, 20, 25, 34)",dbl,335,NULL
107,SAPS_24,"SAPS - total of global scores (items 7, 20, 25, 34)",dbl,360,NULL
108,SANS_0,"SANS - total of global scores w/o attention (items 8, 13, 17, 22)",dbl,90,NULL
109,SANS_1,"SANS - total of global scores w/o attention (items 8, 13, 17, 22)",dbl,401,NULL
110,SANS_2,"SANS - total of global scores w/o attention (items 8, 13, 17, 22)",dbl,305,NULL
111,SANS_3,"SANS - total of global scores w/o attention (items 8, 13, 17, 22)",dbl,203,NULL
112,SANS_6,"SANS - total of global scores w/o attention (items 8, 13, 17, 22)",dbl,246,NULL
113,SANS_9,"SANS - total of global scores w/o attention (items 8, 13, 17, 22)",dbl,325,NULL
114,SANS_12,"SANS - total of global scores w/o attention (items 8, 13, 17, 22)",dbl,302,NULL
115,SANS_18,"SANS - total of global scores w/o attention (items 8, 13, 17, 22)",dbl,335,NULL
116,SANS_24,"SANS - total of global scores w/o attention (items 8, 13, 17, 22)",dbl,360,NULL
117,HAS_0,HAS - total scores (items 1-13),dbl,240,NULL
118,HAS_1,HAS - total scores (items 1-13),dbl,413,NULL
119,HAS_2,HAS - total scores (items 1-13),dbl,315,NULL
120,HAS_3,HAS - total scores (items 1-13),dbl,288,NULL
121,HAS_6,HAS - total scores (items 1-13),dbl,308,NULL
122,HAS_9,HAS - total scores (items 1-13),dbl,329,NULL
123,HAS_12,HAS - total scores (items 1-13),dbl,340,NULL
124,HAS_18,HAS - total scores (items 1-13),dbl,361,NULL
125,HAS_24,HAS - total scores (items 1-13),dbl,417,NULL
126,CDS_0,CDS - total scores (items 1-9),dbl,111,NULL
127,CDS_1,CDS - total scores (items 1-9),dbl,410,NULL
128,CDS_2,CDS - total scores (items 1-9),dbl,313,NULL
129,CDS_3,CDS - total scores (items 1-9),dbl,211,NULL
130,CDS_6,CDS - total scores (items 1-9),dbl,252,NULL
131,CDS_9,CDS - total scores (items 1-9),dbl,322,NULL
132,CDS_12,CDS - total scores (items 1-9),dbl,309,NULL
133,CDS_18,CDS - total scores (items 1-9),dbl,338,NULL
134,CDS_24,CDS - total scores (items 1-9),dbl,412,NULL
135,YMRS_0,YMRS - total scores (items 1-11),dbl,621,NULL
136,YMRS_1,YMRS - total scores (items 1-11),dbl,664,NULL
137,YMRS_2,YMRS - total scores (items 1-11),dbl,658,NULL
138,YMRS_3,YMRS - total scores (items 1-11),dbl,640,NULL
139,YMRS_6,YMRS - total scores (items 1-11),dbl,630,NULL
140,YMRS_9,YMRS - total scores (items 1-11),dbl,632,NULL
141,YMRS_12,YMRS - total scores (items 1-11),dbl,626,NULL
142,YMRS_18,YMRS - total scores (items 1-11),dbl,636,NULL
143,YMRS_24,YMRS - total scores (items 1-11),dbl,642,NULL
144,SUMD1_0,SUMD - insigt into mental health dx (items 1-2),dbl,379,NULL
145,SUMD1_1,SUMD - insigt into mental health dx (items 1-2),dbl,507,NULL
146,SUMD1_2,SUMD - insigt into mental health dx (items 1-2),dbl,437,NULL
147,SUMD1_3,SUMD - insigt into mental health dx (items 1-2),dbl,426,NULL
148,SUMD1_6,SUMD - insigt into mental health dx (items 1-2),dbl,450,NULL
149,SUMD1_9,SUMD - insigt into mental health dx (items 1-2),dbl,468,NULL
150,SUMD1_12,SUMD - insigt into mental health dx (items 1-2),dbl,462,NULL
151,SUMD1_18,SUMD - insigt into mental health dx (items 1-2),dbl,508,NULL
152,SUMD1_24,SUMD - insigt into mental health dx (items 1-2),dbl,568,NULL
153,SUMD2_0,SUMD - insigt into positive sx (items 3-4),dbl,504,NULL
154,SUMD2_1,SUMD - insigt into positive sx (items 3-4),dbl,692,NULL
155,SUMD2_2,SUMD - insigt into positive sx (items 3-4),dbl,684,NULL
156,SUMD2_3,SUMD - insigt into positive sx (items 3-4),dbl,690,NULL
157,SUMD2_6,SUMD - insigt into positive sx (items 3-4),dbl,699,NULL
158,SUMD2_9,SUMD - insigt into positive sx (items 3-4),dbl,697,NULL
159,SUMD2_12,SUMD - insigt into positive sx (items 3-4),dbl,698,NULL
160,SUMD2_18,SUMD - insigt into positive sx (items 3-4),dbl,708,NULL
161,SUMD2_24,SUMD - insigt into positive sx (items 3-4),dbl,715,NULL
162,SUMD3_0,SUMD - insigt into negativesx (items 5-6),dbl,615,NULL
163,SUMD3_1,SUMD - insigt into negativesx (items 5-6),dbl,675,NULL
164,SUMD3_2,SUMD - insigt into negativesx (items 5-6),dbl,659,NULL
165,SUMD3_3,SUMD - insigt into negativesx (items 5-6),dbl,656,NULL
166,SUMD3_6,SUMD - insigt into negativesx (items 5-6),dbl,677,NULL
167,SUMD3_9,SUMD - insigt into negativesx (items 5-6),dbl,686,NULL
168,SUMD3_12,SUMD - insigt into negativesx (items 5-6),dbl,696,NULL
169,SUMD3_18,SUMD - insigt into negativesx (items 5-6),dbl,709,NULL
170,SUMD3_24,SUMD - insigt into negativesx (items 5-6),dbl,719,NULL
171,RESP_SAPS,Response rate within 3 months of treatment,dbl,203,NULL
172,RESP_SANS,Response rate within 3 months of treatment,dbl,206,NULL
173,RESP_tot,Response rate within 3 months of treatment,dbl,205,NULL
174,RESP20_SAPS,"Early response of positive, negative and total symptoms (20/50% reduction by month 3)",dbl+lbl,203,"c(`no response` = 0, `early response` = 1)"
175,RESP20_SANS,"Early response of positive, negative and total symptoms (20/50% reduction by month 3)",dbl+lbl,203,"c(`no response` = 0, `early response` = 1)"
176,RESP20_tot,"Early response of positive, negative and total symptoms (20/50% reduction by month 3)",dbl+lbl,205,"c(`no response` = 0, `early response` = 1)"
177,RESP50_SAPS,"Early response of positive, negative and total symptoms (20/50% reduction by month 3)",dbl+lbl,203,"c(`no response` = 0, `early response` = 1)"
178,RESP50_SANS,"Early response of positive, negative and total symptoms (20/50% reduction by month 3)",dbl+lbl,206,"c(`no response` = 0, `early response` = 1)"
179,RESP50_tot,"Early response of positive, negative and total symptoms (20/50% reduction by month 3)",dbl+lbl,205,"c(`no response` = 0, `early response` = 1)"
180,PSR_0,"Remission of positive, negative or both positive and negative symptoms at each timepoints",dbl+lbl,89,"c(`no remission` = 0, remission = 1)"
181,PSR_1,"Remission of positive, negative or both positive and negative symptoms at each timepoints",dbl+lbl,400,"c(`no remission` = 0, remission = 1)"
182,PSR_2,"Remission of positive, negative or both positive and negative symptoms at each timepoints",dbl+lbl,305,"c(`no remission` = 0, remission = 1)"
183,PSR_3,"Remission of positive, negative or both positive and negative symptoms at each timepoints",dbl+lbl,201,"c(`no remission` = 0, remission = 1)"
184,PSR_6,"Remission of positive, negative or both positive and negative symptoms at each timepoints",dbl+lbl,245,"c(`no remission` = 0, remission = 1)"
185,PSR_9,"Remission of positive, negative or both positive and negative symptoms at each timepoints",dbl+lbl,322,"c(`no remission` = 0, remission = 1)"
186,PSR_12,"Remission of positive, negative or both positive and negative symptoms at each timepoints",dbl+lbl,302,"c(`no remission` = 0, remission = 1)"
187,PSR_18,"Remission of positive, negative or both positive and negative symptoms at each timepoints",dbl+lbl,335,"c(`no remission` = 0, remission = 1)"
188,PSR_24,"Remission of positive, negative or both positive and negative symptoms at each timepoints",dbl+lbl,360,"c(`no remission` = 0, remission = 1)"
189,NSR_0,"Remission of positive, negative or both positive and negative symptoms at each timepoints",dbl+lbl,90,"c(`no remission` = 0, remission = 1)"
190,NSR_1,"Remission of positive, negative or both positive and negative symptoms at each timepoints",dbl+lbl,400,"c(`no remission` = 0, remission = 1)"
191,NSR_2,"Remission of positive, negative or both positive and negative symptoms at each timepoints",dbl+lbl,304,"c(`no remission` = 0, remission = 1)"
192,NSR_3,"Remission of positive, negative or both positive and negative symptoms at each timepoints",dbl+lbl,201,"c(`no remission` = 0, remission = 1)"
193,NSR_6,"Remission of positive, negative or both positive and negative symptoms at each timepoints",dbl+lbl,244,"c(`no remission` = 0, remission = 1)"
194,NSR_9,"Remission of positive, negative or both positive and negative symptoms at each timepoints",dbl+lbl,324,"c(`no remission` = 0, remission = 1)"
195,NSR_12,"Remission of positive, negative or both positive and negative symptoms at each timepoints",dbl+lbl,302,"c(`no remission` = 0, remission = 1)"
196,NSR_18,"Remission of positive, negative or both positive and negative symptoms at each timepoints",dbl+lbl,335,"c(`no remission` = 0, remission = 1)"
197,NSR_24,"Remission of positive, negative or both positive and negative symptoms at each timepoints",dbl+lbl,360,"c(`no remission` = 0, remission = 1)"
198,JSR_0,"Remission of positive, negative or both positive and negative symptoms at each timepoints",dbl+lbl,89,"c(`no remission` = 0, remission = 1)"
199,JSR_1,"Remission of positive, negative or both positive and negative symptoms at each timepoints",dbl+lbl,400,"c(`no remission` = 0, remission = 1)"
200,JSR_2,"Remission of positive, negative or both positive and negative symptoms at each timepoints",dbl+lbl,304,"c(`no remission` = 0, remission = 1)"
201,JSR_3,"Remission of positive, negative or both positive and negative symptoms at each timepoints",dbl+lbl,201,"c(`no remission` = 0, remission = 1)"
202,JSR_6,"Remission of positive, negative or both positive and negative symptoms at each timepoints",dbl+lbl,246,"c(`no remission` = 0, remission = 1)"
203,JSR_9,"Remission of positive, negative or both positive and negative symptoms at each timepoints",dbl+lbl,326,"c(`no remission` = 0, remission = 1)"
204,JSR_12,"Remission of positive, negative or both positive and negative symptoms at each timepoints",dbl+lbl,302,"c(`no remission` = 0, remission = 1)"
205,JSR_18,"Remission of positive, negative or both positive and negative symptoms at each timepoints",dbl+lbl,335,"c(`no remission` = 0, remission = 1)"
206,JSR_24,"Remission of positive, negative or both positive and negative symptoms at each timepoints",dbl+lbl,362,"c(`no remission` = 0, remission = 1)"
207,PSR_by3,Remission of positive symptoms by/at month 3/6,dbl+lbl,259,"c(`no remission` = 0, remission = 1)"
208,NSR_by3,Remission of Negative symptoms by/at month 3/6,dbl+lbl,356,"c(`no remission` = 0, remission = 1)"
209,JSR_by3,Joint remission of positive and negative symptoms by/at month 3/6,dbl+lbl,378,"c(`no remission` = 0, remission = 1)"
210,PSR_at3,Remission of positive symptoms by/at month 3/6,dbl+lbl,318,"c(`no remission` = 0, remission = 1)"
211,NSR_at3,Remission of Negative symptoms by/at month 3/6,dbl+lbl,228,"c(`no remission` = 0, remission = 1)"
212,JSR_at3,Joint remission of positive and negative symptoms by/at month 3/6,dbl+lbl,208,"c(`no remission` = 0, remission = 1)"
